Identificador,Sexo,Edad,Salario,Compra
15794253,Mujer,35,147000,1
15694453,Hombre,39,42000,0
15813113,Hombre,40,107000,1
15614187,Hombre,49,86000,1
15619407,Mujer,38,112000,0
15646227,Hombre,46,79000,1
15660541,Hombre,40,57000,0
15753874,Mujer,37,80000,0
15617877,Mujer,46,82000,0
15772073,Mujer,53,143000,1
15701537,Hombre,42,149000,1
15736228,Hombre,38,59000,0
15780572,Mujer,50,88000,1
15769596,Mujer,56,104000,1
15586996,Mujer,41,72000,0
15722061,Mujer,51,146000,1
15638003,Mujer,35,50000,0
15775590,Mujer,57,122000,1
15730688,Hombre,41,52000,0
15753102,Mujer,35,97000,1
15810075,Mujer,44,39000,0
15723373,Hombre,37,52000,0
15795298,Mujer,48,134000,1
15584320,Mujer,37,146000,1
15724161,Mujer,50,44000,0
15750056,Mujer,52,90000,1
15609637,Mujer,41,72000,0
15794493,Hombre,40,57000,0
15569641,Mujer,58,95000,1
15815236,Mujer,45,131000,1
15811177,Mujer,35,77000,0
15680587,Hombre,36,144000,1
15672821,Mujer,55,125000,1
15767681,Mujer,35,72000,0
15600379,Hombre,48,90000,1
15801336,Mujer,42,108000,1
15721592,Hombre,40,75000,0
15581282,Hombre,37,74000,0
15746203,Mujer,47,144000,1
15583137,Hombre,40,61000,0
15680752,Mujer,43,133000,0
15688172,Mujer,59,76000,1
15791373,Hombre,60,42000,1
15589449,Hombre,39,106000,1
15692819,Mujer,57,26000,1
15727467,Hombre,57,74000,1
15734312,Hombre,38,71000,0
15764604,Hombre,49,88000,1
15613014,Mujer,52,38000,1
15759684,Mujer,50,36000,1
15609669,Mujer,59,88000,1
15685536,Hombre,35,61000,0
15750447,Hombre,37,70000,1
15663249,Mujer,52,21000,1
15638646,Hombre,48,141000,0
15734161,Mujer,37,93000,1
15631070,Mujer,37,62000,0
15761950,Mujer,48,138000,1
15649668,Hombre,41,79000,0
15713912,Mujer,37,78000,1
15586757,Hombre,39,134000,1
15596522,Hombre,49,89000,1
15625395,Hombre,55,39000,1
15760570,Hombre,37,77000,0
15566689,Mujer,35,57000,0
15725794,Mujer,36,63000,0
15673539,Hombre,42,73000,1
15705298,Mujer,43,112000,1
15675791,Hombre,45,79000,0
15747043,Hombre,46,117000,1
15736397,Mujer,58,38000,1
15678201,Hombre,48,74000,1
15720745,Mujer,37,137000,1
15637593,Hombre,37,79000,1
15598070,Mujer,40,60000,0
15787550,Hombre,42,54000,0
15603942,Mujer,51,134000,0
15733973,Mujer,47,113000,1
15596761,Hombre,36,125000,1
15652400,Mujer,38,50000,0
15717893,Mujer,42,70000,0
15622585,Hombre,39,96000,1
15733964,Mujer,38,50000,0
15753861,Mujer,49,141000,1
15747097,Mujer,39,79000,0
15594762,Mujer,39,75000,1
15667417,Mujer,54,104000,1
15684861,Hombre,35,55000,0
15742204,Hombre,45,32000,1
15623502,Hombre,36,60000,0
15774872,Mujer,52,138000,1
15611191,Mujer,53,82000,1
15674331,Hombre,41,52000,0
15619465,Mujer,48,30000,1
15575247,Mujer,48,131000,1
15695679,Mujer,41,60000,0
15713463,Hombre,41,72000,0
15785170,Mujer,42,75000,0
15796351,Hombre,36,118000,1
15639576,Mujer,47,107000,1
15693264,Hombre,38,51000,0
15589715,Mujer,48,119000,1
15769902,Hombre,42,65000,0
15587177,Hombre,40,65000,0
15814553,Hombre,57,60000,1
15601550,Mujer,36,54000,0
15664907,Hombre,58,144000,1
15612465,Hombre,35,79000,0
15810800,Mujer,38,55000,0
15665760,Hombre,39,122000,1
15588080,Mujer,53,104000,1
15776844,Hombre,35,75000,0
15717560,Mujer,38,65000,0
15629739,Mujer,47,51000,1
15729908,Hombre,47,105000,1
15716781,Mujer,41,63000,0
15646936,Hombre,53,72000,1
15768151,Mujer,54,108000,1
15579212,Hombre,39,77000,0
15721835,Hombre,38,61000,0
15800515,Mujer,38,113000,1
15591279,Hombre,37,75000,0
15587419,Mujer,42,90000,1
15750335,Mujer,37,57000,0
15699619,Hombre,36,99000,1
15606472,Hombre,60,34000,1
15778368,Hombre,54,70000,1
15671387,Mujer,41,72000,0
15573926,Hombre,40,71000,1
15709183,Hombre,42,54000,0
15577514,Hombre,43,129000,1
15778830,Mujer,53,34000,1
15768072,Mujer,47,50000,1
15768293,Mujer,42,79000,0
15654456,Hombre,42,104000,1
15807525,Mujer,59,29000,1
15574372,Mujer,58,47000,1
15671249,Hombre,46,88000,1
15779744,Hombre,38,71000,0
15624755,Mujer,54,26000,1
15611430,Mujer,60,46000,1
15774744,Hombre,60,83000,1
15629885,Mujer,39,73000,0
15708791,Hombre,59,130000,1
15793890,Mujer,37,80000,0
15646091,Mujer,46,32000,1
15596984,Mujer,46,74000,0
15800215,Mujer,42,53000,0
15577806,Hombre,41,87000,1
15749381,Mujer,58,23000,1
15683758,Hombre,42,64000,0
15670615,Hombre,48,33000,1
15715622,Mujer,44,139000,1
15707634,Hombre,49,28000,1
15806901,Mujer,57,33000,1
15775335,Hombre,56,60000,1
15724150,Mujer,49,39000,1
15627220,Hombre,39,71000,0
15672330,Hombre,47,34000,1
15668521,Mujer,48,35000,1
15807837,Hombre,48,33000,1
15592570,Hombre,47,23000,1
15748589,Mujer,45,45000,1
15635893,Hombre,60,42000,1
15757632,Mujer,39,59000,0
15691863,Mujer,46,41000,1
15706071,Hombre,51,23000,1
15654296,Mujer,50,20000,1
15755018,Hombre,36,33000,0
15594041,Mujer,49,36000,1
